noun,Eventive_1,Eventive_2,Pluralia Tantum_1,Pluralia Tantum_2,Animate/Inanimate_1,Animate/Inanimate_2,Animate/Inanimate_3,Collective_1,Collective_2,Common_1,Common_2,Count_1,Count_2,Mass_1,Mass_2,total_score
homework,0.92,0.97,0.51,0.95,-0.92,-0.96,-0.96,-0.63,-0.82,0.98,0.64,0.92,0.95,0.98,-0.90,0.26
homicide,0.73,0.98,0.89,0.96,-0.95,-0.97,-0.92,-0.60,-0.84,0.89,0.83,0.82,0.96,0.77,-0.88,0.26
homogenate,-0.57,0.92,0.60,0.93,0.92,0.96,0.96,0.95,0.70,0.95,0.57,0.95,0.85,-0.82,-0.75,0.51
homonym,0.78,0.95,0.83,0.96,0.94,-0.59,0.90,0.85,-0.82,0.97,0.91,0.96,0.96,0.76,-0.68,0.59
homosexual,-0.85,-0.77,0.87,0.91,-0.57,0.95,0.95,0.56,-0.69,-0.58,0.58,0.92,0.83,-0.73,-0.78,0.08
homosexuality,-0.63,0.97,0.50,0.71,-0.95,-0.97,-0.95,-0.55,-0.88,-0.61,0.59,0.94,0.95,0.76,-0.90,-0.00
honesty,0.77,0.95,-0.80,0.58,-0.74,-0.97,-0.97,-0.75,-0.87,0.92,0.64,0.76,0.90,0.94,-0.84,0.10
honey,0.89,0.93,-0.67,0.94,0.84,-0.86,-0.93,-0.67,-0.90,0.98,0.75,0.94,0.91,0.98,-0.88,0.25
honeybee,0.66,-0.67,0.86,0.96,0.90,0.96,0.81,0.83,-0.94,0.95,0.91,0.90,0.91,0.85,-0.69,0.52
honeydew,0.88,0.91,0.81,0.96,-0.59,0.75,-0.77,0.84,0.54,0.90,0.86,0.93,0.96,0.95,-0.50,0.62
honor,0.51,0.96,-0.60,0.92,-0.59,-0.96,-0.96,-0.56,-0.95,0.96,0.61,0.93,0.85,0.93,-0.88,0.14
honoree,0.67,0.95,-0.77,0.93,0.74,0.96,0.97,0.90,-0.51,0.72,0.57,0.92,0.67,-0.90,-0.59,0.38
hood,-0.74,-0.74,0.76,0.93,-0.90,-0.96,-0.89,0.70,-0.57,0.96,0.58,0.92,0.69,-0.69,-0.83,0.01
hoof,0.62,-0.59,0.56,0.94,-0.91,-0.87,0.53,0.86,-0.61,0.95,0.86,0.92,0.85,0.77,-0.71,0.33
hook,0.64,-0.55,0.87,0.96,0.76,-0.96,-0.94,-0.51,-0.94,0.97,0.89,0.93,0.96,0.86,-0.80,0.25
hop,0.82,0.68,0.65,0.97,-0.96,-0.95,-0.87,0.95,-0.62,0.93,0.83,0.96,0.96,0.70,-0.81,0.37
hope,0.75,0.95,0.60,0.79,0.90,-0.96,-0.94,0.55,-0.88,0.75,0.58,0.96,0.63,0.93,-0.85,0.36
hops,0.92,0.97,-0.90,-0.66,-0.96,-0.96,-0.95,-0.72,0.82,-0.94,0.66,0.73,0.51,-0.94,0.92,-0.04
horde,-0.75,0.60,0.76,0.90,0.81,-0.53,0.86,0.96,0.93,0.65,0.67,0.87,0.58,-0.70,-0.84,0.39
horizon,0.62,0.59,0.54,0.88,-0.71,-0.96,-0.96,-0.74,-0.87,0.93,0.76,0.95,0.89,0.61,-0.83,0.18
hormone,0.77,0.96,0.84,0.95,0.92,-0.93,-0.93,-0.51,-0.78,0.98,0.84,0.95,0.97,0.96,-0.92,0.38
horn,0.52,0.56,0.88,0.94,0.90,-0.94,-0.92,0.85,-0.93,0.98,0.90,0.90,0.89,0.87,-0.85,0.42
hornet,0.63,0.57,0.90,0.95,0.87,0.93,0.94,0.84,-0.69,0.91,0.84,0.90,0.79,0.54,-0.69,0.59
horror,0.66,0.98,0.76,0.92,-0.58,-0.97,-0.96,0.57,-0.87,0.92,0.88,0.96,0.94,0.93,-0.89,0.36
horse,0.66,-0.85,0.90,0.96,0.85,0.92,0.94,-0.53,-0.82,0.97,0.91,0.91,0.75,0.95,-0.66,0.42
horseradish,0.85,0.67,-0.75,0.79,-0.87,-0.96,-0.95,-0.77,-0.86,0.84,0.65,0.67,0.97,0.91,-0.86,0.09
horst,-0.78,0.53,0.73,0.93,-0.69,-0.82,-0.86,0.52,-0.85,-0.62,0.81,0.96,0.97,-0.70,-0.66,0.02
hose,0.83,-0.64,0.91,0.95,0.92,-0.94,-0.96,-0.83,-0.92,0.98,0.89,0.94,0.79,0.96,-0.86,0.24
hosiery,0.89,0.93,0.65,0.94,-0.91,-0.96,-0.93,0.82,-0.76,0.90,0.63,0.93,0.93,0.82,-0.61,0.37
hospice,-0.52,0.93,0.88,0.89,-0.92,-0.68,0.89,0.85,0.59,0.91,0.63,0.95,0.91,-0.79,-0.76,0.36
hospital,-0.68,-0.91,0.84,0.92,-0.96,-0.85,-0.57,0.56,-0.85,0.96,0.72,0.92,0.88,-0.59,-0.79,0.03
hospitalisation,0.81,0.98,0.51,0.97,-0.92,-0.96,-0.95,-0.58,-0.90,0.94,0.79,0.91,0.96,-0.51,-0.83,0.16
hospitality,0.94,0.98,-0.70,0.90,-0.54,-0.96,-0.96,0.63,-0.83,0.97,0.78,0.93,0.96,0.96,-0.91,0.28
hospitalization,0.84,0.98,0.54,0.96,-0.94,-0.97,-0.95,-0.53,-0.84,0.97,0.80,0.89,0.96,0.70,-0.88,0.25
host,0.82,-0.89,0.76,0.96,0.88,0.97,0.96,0.83,-0.92,0.96,0.62,0.94,0.57,-0.85,-0.84,0.34
hostel,-0.62,-0.73,0.92,0.95,-0.94,-0.57,-0.82,0.85,-0.66,0.94,0.85,0.95,0.76,-0.93,-0.75,0.07
hostess,0.79,-0.88,0.89,0.92,0.88,0.97,0.96,0.79,-0.96,0.93,0.66,0.86,-0.57,-0.92,0.75,0.37
hotdog,0.88,-0.74,0.75,0.97,0.64,-0.62,-0.87,-0.63,-0.95,0.97,0.91,0.84,0.66,0.82,-0.90,0.22
hotel,-0.54,-0.89,0.86,0.94,-0.95,-0.87,0.57,-0.54,-0.78,0.97,0.81,0.87,0.89,-0.55,-0.69,0.04
hound,-0.53,-0.62,0.80,0.95,0.64,0.94,0.95,0.70,-0.65,0.94,0.77,0.92,0.84,-0.54,0.57,0.42
hour,-0.81,0.87,-0.61,0.96,-0.90,-0.97,-0.97,-0.71,-0.96,0.67,0.84,0.81,0.80,0.79,-0.91,-0.01
hourglass,0.63,-0.61,0.78,0.95,0.68,-0.87,-0.71,0.64,-0.94,0.95,0.89,0.90,0.96,0.74,-0.75,0.32
house,-0.68,-0.94,0.86,0.94,-0.96,-0.97,-0.94,0.81,-0.93,0.96,0.88,0.86,0.91,0.71,-0.83,0.12
houseboat,0.92,-0.83,0.94,0.96,-0.77,-0.78,-0.80,0.85,-0.77,0.98,0.93,0.91,0.87,0.85,-0.83,0.30
household,-0.60,-0.88,0.85,0.90,-0.82,-0.62,0.95,0.95,0.95,0.89,0.78,0.87,0.96,0.60,-0.83,0.37
housewife,0.63,-0.83,0.94,0.93,0.86,0.97,0.97,0.54,-0.96,0.93,0.68,0.89,0.60,-0.71,-0.56,0.35
housework,0.95,0.97,-0.90,0.54,-0.92,-0.96,-0.96,-0.66,-0.89,0.97,0.75,0.71,0.86,0.98,-0.93,0.10
housing,0.76,0.97,-0.90,0.65,-0.95,-0.97,-0.96,-0.71,-0.87,0.98,0.67,0.88,0.94,0.97,-0.94,0.11
hovel,0.51,-0.69,0.77,0.92,-0.94,-0.96,-0.89,0.93,-0.82,0.91,0.81,0.93,0.94,-0.54,-0.79,0.14
hovercraft,0.86,-0.64,0.90,0.95,-0.86,-0.83,-0.90,0.72,0.57,0.97,0.89,0.86,-0.56,0.60,0.82,0.37
howard,0.57,0.72,0.72,0.92,0.83,-0.72,0.52,0.83,-0.91,0.97,0.67,0.83,0.95,0.89,-0.82,0.48
howitzer,0.90,-0.58,0.88,0.95,0.60,0.95,0.90,0.93,-0.94,0.98,0.81,0.93,0.96,-0.57,-0.77,0.44
hub,-0.50,-0.53,0.59,0.93,-0.85,-0.74,-0.59,0.95,-0.90,0.98,0.78,0.94,0.54,-0.89,-0.83,0.04
hubcap,0.87,0.56,0.92,0.97,-0.62,-0.89,0.61,0.85,-0.64,0.97,0.93,0.89,0.84,0.84,-0.81,0.47
hubris,0.57,0.98,-0.66,0.57,-0.83,-0.65,0.83,0.74,0.63,0.87,0.61,0.76,0.90,-0.59,-0.86,0.29
hug,0.81,0.97,0.86,0.97,-0.76,-0.96,-0.96,-0.56,-0.94,0.97,0.83,0.92,0.58,-0.71,-0.85,0.15
hugger,-0.74,-0.58,0.66,0.93,0.80,0.96,0.87,0.83,-0.93,0.96,0.70,0.87,-0.63,-0.93,-0.75,0.15
hull,-0.55,-0.88,0.59,0.92,-0.75,-0.96,-0.94,0.62,-0.82,0.96,0.91,0.91,0.86,-0.57,-0.86,0.02
human,-0.93,-0.89,0.83,0.88,-0.61,0.91,0.92,-0.64,-0.94,0.56,0.61,0.77,0.56,0.64,-0.92,0.09
humanity,-0.92,-0.72,-0.74,0.61,-0.83,-0.96,-0.66,0.84,0.70,-0.90,-0.74,0.94,0.85,0.83,-0.87,-0.13
humidity,0.60,0.96,-0.76,-0.83,0.72,-0.97,-0.96,-0.91,-0.64,0.93,0.65,0.93,0.97,0.92,-0.95,0.08
hummus,0.95,0.94,0.84,0.95,0.64,-0.95,-0.95,-0.51,-0.78,0.97,0.85,0.93,0.96,0.97,0.63,0.49
humor,0.90,0.98,-0.68,0.60,0.93,-0.97,-0.96,-0.67,-0.72,0.98,0.74,0.85,0.95,0.97,-0.88,0.24
humour,0.89,0.98,-0.57,0.75,0.92,-0.97,-0.96,-0.72,-0.59,0.97,0.76,0.90,0.92,0.94,-0.90,0.26
hunchback,0.59,0.80,0.90,0.89,0.79,0.95,0.94,0.90,0.61,0.91,0.76,0.94,0.88,-0.83,-0.60,0.61
hundred,-0.85,0.58,0.76,0.95,0.56,-0.96,-0.90,0.70,0.93,-0.65,0.79,0.92,0.60,-0.90,-0.70,0.16
hunger,0.68,0.97,0.53,0.89,0.57,-0.97,-0.96,-0.71,-0.91,0.69,0.77,0.85,0.76,0.93,-0.92,0.26
hunt,0.95,0.98,0.62,0.95,-0.67,-0.97,-0.96,0.78,-0.76,0.97,0.88,0.90,0.86,-0.70,-0.90,0.27
hunter,0.59,-0.58,0.93,0.95,0.93,0.96,0.94,0.85,-0.92,0.95,0.58,0.86,0.64,0.59,-0.85,0.46
hunting,0.96,0.98,-0.92,-0.56,-0.90,-0.97,-0.93,-0.56,-0.75,0.97,0.70,0.66,0.89,0.95,-0.94,0.04
hurdle,-0.76,0.96,0.77,0.95,-0.79,-0.97,-0.96,-0.69,-0.88,0.59,0.82,0.95,0.93,0.82,-0.85,0.13
hurdler,0.66,0.52,0.89,0.95,0.85,0.96,0.93,0.78,-0.83,0.93,0.67,0.90,0.66,-0.80,-0.61,0.47
hurricane,0.52,0.98,0.88,0.94,0.67,-0.93,-0.81,-0.54,-0.75,0.91,0.86,0.92,0.96,-0.90,-0.81,0.23
hurry,-0.56,0.58,-0.68,0.81,-0.96,-0.97,-0.96,-0.75,-0.95,0.79,0.63,0.85,0.95,-0.72,-0.59,-0.11
hurt,0.60,0.97,-0.91,-0.64,-0.86,-0.96,-0.94,-0.80,-0.82,-0.51,-0.56,-0.56,0.63,0.70,-0.89,-0.33
husband,0.80,-0.89,0.86,0.93,0.86,0.97,0.97,-0.70,-0.95,0.89,0.58,0.85,0.61,0.56,-0.88,0.32
hut,-0.69,-0.75,0.86,0.96,-0.96,-0.97,-0.90,-0.57,-0.95,0.98,0.92,0.90,0.87,0.67,-0.77,0.04
hutch,0.62,-0.79,0.89,0.95,-0.95,-0.96,-0.95,-0.64,-0.96,0.97,0.86,0.94,0.90,-0.69,-0.79,0.02
hyacinth,0.83,0.93,0.80,0.96,0.94,-0.74,-0.55,0.87,-0.77,0.92,0.87,0.92,0.95,0.80,-0.71,0.51
hybridisation,0.94,0.98,0.76,0.95,-0.74,-0.96,-0.94,0.75,-0.85,0.98,0.78,0.95,0.97,0.74,-0.70,0.39
hybridization,0.95,0.98,0.71,0.94,-0.59,-0.96,-0.94,0.80,-0.88,0.98,0.77,0.95,0.97,0.85,-0.74,0.40
hydrant,0.77,0.75,0.93,0.96,0.89,-0.75,-0.60,0.77,-0.87,0.97,0.91,0.93,0.93,0.77,-0.82,0.48
hydraulics,0.96,0.98,-0.78,0.52,-0.88,-0.96,-0.90,0.59,0.95,-0.64,0.57,0.55,0.54,-0.80,0.80,0.17
hydrocarb,0.84,0.97,0.88,0.96,-0.50,-0.94,-0.96,0.60,-0.88,0.97,0.83,0.95,0.96,0.76,-0.76,0.39
hydrocarbon,0.76,0.89,0.90,0.95,0.79,-0.88,-0.95,0.61,-0.88,0.97,0.90,0.95,0.98,0.91,-0.85,0.46
hydrofoil,0.84,0.97,0.88,0.96,0.91,-0.91,-0.89,0.65,-0.90,0.97,0.87,0.94,0.95,0.87,-0.73,0.48
hydrogen,0.86,0.95,0.55,0.80,0.74,-0.96,-0.94,-0.60,0.64,0.97,0.70,0.96,0.97,0.98,-0.83,0.44
hydrolyse,0.86,0.95,0.83,0.93,-0.69,-0.89,-0.77,0.94,0.76,0.96,0.83,0.95,0.96,-0.62,-0.54,0.45
hydrolysis,0.96,0.98,0.72,0.94,-0.76,-0.96,-0.95,-0.57,-0.88,0.98,0.73,0.95,0.96,0.90,-0.74,0.30
hydrolyze,0.84,0.97,0.80,0.95,0.53,-0.95,-0.89,0.67,-0.89,0.97,0.70,0.93,0.94,0.65,-0.76,0.42
hydroxyl,0.87,0.94,0.83,0.95,0.84,-0.86,-0.78,0.90,-0.71,0.94,0.89,0.97,0.97,0.96,-0.61,0.53
hyena,0.66,0.64,0.86,0.96,0.88,0.95,0.94,0.87,0.69,0.89,0.71,0.94,0.94,0.55,0.75,0.81
hygienic,-0.88,-0.78,-0.93,-0.78,-0.77,-0.91,-0.81,-0.72,-0.73,-0.87,0.52,0.87,0.76,-0.82,-0.94,-0.50
hype,0.89,0.98,-0.65,0.74,0.66,-0.96,-0.93,-0.67,-0.87,0.95,0.72,0.96,0.97,0.91,-0.88,0.23
hyphenation,0.90,0.98,0.87,0.96,0.90,-0.96,-0.94,-0.52,-0.79,0.97,0.81,0.95,0.96,0.90,-0.80,0.39
hypochondria,-0.56,0.89,0.66,0.79,-0.66,-0.55,0.92,0.89,0.96,-0.60,0.60,0.94,0.94,0.50,0.86,0.48
hypothermia,0.85,0.98,0.67,0.83,-0.70,-0.96,-0.94,0.53,-0.83,0.91,0.72,0.94,0.96,0.53,-0.92,0.32
hypothesis,0.80,0.97,0.92,0.95,0.90,-0.95,-0.96,0.75,-0.86,0.98,0.90,0.95,0.96,0.89,-0.71,0.49
ice,-0.52,0.85,-0.81,0.64,0.71,-0.97,-0.97,-0.78,-0.75,0.95,0.68,0.92,0.95,0.97,-0.91,0.10
ice-cream,0.92,0.97,-0.55,0.97,-0.85,-0.97,-0.96,-0.57,-0.95,0.97,0.79,0.89,0.73,0.98,-0.94,0.17
iceberg,0.59,0.97,0.73,0.95,0.80,-0.93,-0.81,0.85,-0.84,0.85,0.87,0.90,0.96,0.73,-0.80,0.44
icebreaker,0.76,0.95,0.84,0.96,-0.62,-0.91,-0.80,0.87,-0.95,0.97,0.93,0.88,0.75,0.69,-0.77,0.38
icecream,0.95,0.97,0.65,0.97,-0.75,-0.97,-0.96,-0.61,-0.95,0.97,0.83,0.87,0.74,0.98,-0.94,0.26
icicle,0.67,0.91,0.81,0.96,0.90,-0.86,-0.92,0.79,-0.86,0.96,0.90,0.89,0.90,0.84,-0.64,0.47
icing,0.95,0.98,-0.60,0.91,0.52,-0.96,-0.97,-0.76,-0.65,0.98,0.86,0.86,0.95,0.98,-0.83,0.26
icon,0.55,0.51,-0.61,0.95,0.91,0.88,0.94,0.57,-0.95,0.98,0.91,0.84,0.97,0.91,-0.84,0.47
icy,-0.80,-0.71,-0.84,-0.68,-0.86,-0.96,-0.90,-0.64,-0.80,-0.77,-0.57,0.72,0.93,-0.79,-0.87,-0.55
id,-0.76,-0.73,-0.54,0.96,0.83,-0.90,0.93,0.92,0.54,0.97,0.78,0.94,0.93,0.72,-0.83,0.32
idea,0.93,0.98,-0.63,0.96,0.53,-0.96,-0.96,0.58,-0.96,0.98,0.85,0.91,0.95,0.79,-0.85,0.33
ideal,0.67,0.96,-0.55,0.93,-0.60,-0.94,-0.77,0.79,-0.85,0.78,0.82,0.95,0.94,0.81,-0.76,0.28
identification,0.92,0.98,-0.56,0.94,-0.60,-0.97,-0.96,0.75,-0.92,0.98,0.81,0.92,0.95,0.96,-0.85,0.30
identity,0.66,0.63,-0.52,0.95,-0.61,-0.96,-0.97,0.83,-0.91,0.96,0.87,0.92,0.95,0.71,-0.88,0.25
ideology,0.76,0.95,0.60,0.93,0.80,-0.96,-0.97,0.85,-0.92,0.98,0.91,0.93,0.97,0.92,-0.86,0.45
idiom,0.92,0.97,0.90,0.96,0.89,-0.93,-0.96,0.90,-0.75,0.98,0.93,0.97,0.97,0.93,-0.65,0.53
idiot,-0.62,0.65,0.81,0.95,0.93,0.95,0.93,0.63,-0.95,0.80,0.65,0.95,-0.53,-0.75,-0.88,0.25
igloo,0.82,0.80,0.87,0.96,-0.76,-0.92,-0.95,-0.51,-0.95,0.98,0.89,0.95,0.94,-0.50,-0.80,0.19
ignorance,0.73,0.97,-0.72,0.57,0.51,-0.96,-0.96,-0.61,-0.86,0.77,0.69,0.88,0.95,0.94,-0.84,0.18
ignorant,-0.53,-0.61,-0.87,-0.70,-0.75,0.65,0.90,-0.75,0.97,0.60,-0.69,0.82,0.86,-0.91,-0.85,-0.15
ikebana,0.95,0.97,0.68,0.97,0.64,0.82,0.85,0.96,0.95,0.95,0.70,0.96,0.90,0.56,0.80,0.85
illegal,-0.73,0.89,-0.79,0.81,0.51,-0.96,-0.82,-0.72,0.67,0.57,-0.72,0.87,0.74,-0.75,-0.89,-0.07
illiteracy,0.61,0.97,-0.63,0.64,-0.87,-0.89,-0.79,-0.60,0.75,0.84,0.76,0.95,0.85,0.68,-0.96,0.23
illness,0.76,0.98,0.58,0.95,0.73,-0.97,-0.96,0.53,-0.88,0.93,0.90,0.86,0.97,0.88,-0.91,0.41
illusion,0.88,0.98,0.79,0.97,0.82,-0.96,-0.96,0.52,-0.91,0.98,0.92,0.93,0.87,0.91,-0.78,0.45
illustration,0.87,0.97,0.71,0.96,-0.64,-0.93,-0.95,0.69,-0.94,0.98,0.93,0.84,0.83,0.91,-0.83,0.37
image,0.70,0.93,-0.60,0.96,0.83,-0.94,-0.96,0.66,-0.92,0.98,0.89,0.90,0.97,0.93,-0.91,0.34
imagination,0.88,0.85,0.58,0.95,0.89,-0.93,-0.87,0.76,-0.84,0.97,0.84,0.95,0.89,0.93,-0.88,0.45
imbalance,0.79,0.98,0.85,0.92,0.55,-0.96,-0.95,-0.57,-0.89,0.91,0.81,0.92,0.97,0.93,-0.78,0.35
imitation,0.96,0.98,0.62,0.97,-0.77,-0.94,-0.94,0.58,-0.90,0.98,0.92,0.96,0.96,0.79,-0.84,0.37
immigrant,-0.60,-0.83,0.69,0.95,0.72,0.96,0.97,-0.59,-0.66,0.92,0.58,0.90,0.84,0.63,-0.83,0.27
immigration,-0.65,0.97,-0.88,-0.53,-0.92,-0.97,-0.88,0.60,-0.78,0.57,-0.53,0.89,0.86,0.87,-0.93,-0.10
immortal,-0.80,-0.63,0.62,0.94,-0.53,0.94,0.95,0.74,-0.64,0.85,0.69,0.96,0.79,0.59,-0.88,0.29
impact,0.85,0.98,-0.62,0.93,-0.92,-0.96,-0.95,-0.70,-0.93,0.94,0.68,0.93,0.97,0.91,-0.88,0.16
impairment,0.85,0.98,0.65,0.95,-0.93,-0.97,-0.95,-0.60,-0.69,0.97,0.83,0.92,0.97,0.80,-0.86,0.28
impala,0.79,0.82,0.76,0.95,-0.54,-0.61,0.67,0.89,0.54,0.79,0.79,0.95,0.83,0.85,-0.55,0.58
impediment,0.74,0.97,0.82,0.94,0.74,-0.96,-0.95,-0.60,-0.75,0.96,0.84,0.90,0.96,0.85,-0.77,0.36
implement,0.83,0.97,0.51,0.95,-0.78,-0.92,-0.90,0.54,-0.93,0.98,0.76,0.88,0.96,-0.73,-0.87,0.22
implementation,0.96,0.98,0.52,0.94,-0.65,-0.95,-0.90,0.72,-0.91,0.98,0.83,0.95,0.97,0.82,-0.83,0.38
implication,0.67,0.97,-0.54,0.90,-0.76,-0.96,-0.95,-0.72,-0.92,0.98,0.73,0.96,0.96,0.88,-0.81,0.16
import,0.89,0.98,-0.56,0.95,-0.55,-0.94,-0.82,-0.64,-0.83,0.98,0.91,0.95,0.95,0.66,-0.90,0.20
importance,-0.81,-0.63,-0.90,-0.64,-0.93,-0.97,-0.95,-0.84,-0.94,-0.69,-0.66,0.87,0.97,0.79,-0.88,-0.45
impostor,0.78,0.94,0.69,0.96,0.94,0.96,0.96,0.86,-0.79,0.93,0.70,0.90,0.92,-0.78,-0.52,0.54
impress,-0.90,-0.57,-0.86,0.55,-0.93,-0.90,-0.93,0.67,-0.74,-0.91,-0.74,-0.62,0.83,-0.91,-0.64,-0.48
impression,0.89,0.97,-0.62,0.94,-0.73,-0.97,-0.96,-0.71,-0.86,0.97,0.68,0.95,0.91,0.96,-0.78,0.18
imprisonment,0.87,0.98,-0.74,0.94,-0.90,-0.97,-0.96,-0.69,-0.91,0.97,0.68,0.83,0.84,0.63,-0.85,0.12
impropriety,0.80,0.98,-0.60,0.91,-0.93,-0.96,-0.95,-0.55,-0.82,0.87,0.81,0.91,0.95,0.84,-0.84,0.17
improvement,0.96,0.98,0.50,0.96,-0.95,-0.96,-0.96,-0.80,-0.91,0.98,0.83,0.93,0.96,0.90,-0.80,0.26
impudence,0.78,0.98,-0.52,0.93,-0.56,-0.96,-0.95,0.75,-0.91,0.95,0.82,0.89,0.97,0.90,-0.86,0.29
impulse,0.89,0.98,0.79,0.97,0.89,-0.96,-0.95,0.81,-0.91,0.97,0.91,0.95,0.97,0.89,-0.84,0.48
in-joke,-0.56,0.92,-0.68,0.81,-0.90,-0.94,-0.95,0.62,-0.90,0.79,0.62,0.85,0.77,-0.91,-0.88,-0.03
in-laws,0.59,-0.50,-0.92,-0.52,-0.93,-0.96,-0.67,-0.60,0.97,-0.93,-0.67,-0.63,-0.64,-0.96,0.89,-0.40
inability,-0.83,0.90,0.53,0.93,-0.96,-0.96,-0.96,-0.83,-0.90,0.66,0.54,0.93,0.96,-0.66,-0.66,-0.02
inauguration,0.80,0.97,0.64,0.94,-0.92,-0.97,-0.95,-0.51,-0.95,0.95,0.83,0.91,0.83,-0.89,-0.87,0.13
inbox,0.51,0.52,-0.68,0.90,-0.87,-0.97,-0.96,0.84,-0.90,0.94,0.80,0.93,0.93,0.56,-0.86,0.19
incandescence,0.91,0.97,-0.56,0.93,-0.81,-0.96,-0.95,0.81,-0.74,0.96,0.78,0.87,0.97,0.94,-0.65,0.31
incarnation,0.71,0.93,-0.86,0.94,0.72,-0.84,0.72,0.89,-0.85,0.94,0.81,0.90,0.87,-0.81,-0.54,0.31
incense,0.89,0.96,-0.63,0.92,0.68,-0.95,-0.96,-0.74,-0.79,0.97,0.77,0.86,0.96,0.98,-0.81,0.25
incentive,0.83,0.97,0.72,0.95,0.66,-0.96,-0.96,-0.68,-0.93,0.98,0.89,0.94,0.95,0.95,-0.87,0.35
inch,-0.82,0.69,-0.58,0.97,-0.94,-0.97,-0.96,-0.67,-0.85,0.81,0.88,0.91,0.94,0.86,-0.84,0.03
incidence,0.70,0.98,-0.73,0.95,-0.94,-0.96,-0.95,-0.58,-0.90,0.93,0.72,0.92,0.96,0.65,-0.80,0.14
incident,0.90,0.98,-0.56,0.97,-0.94,-0.97,-0.96,-0.57,-0.91,0.94,0.81,0.85,0.96,-0.67,-0.87,0.07
incision,0.78,0.98,0.78,0.95,0.79,-0.96,-0.95,-0.70,-0.89,0.97,0.90,0.85,0.96,0.90,-0.83,0.35
inclusion,0.83,0.98,-0.74,0.91,-0.91,-0.94,-0.91,-0.54,-0.87,0.97,0.72,0.96,0.97,0.68,-0.68,0.17
income,0.70,0.97,-0.63,0.94,-0.91,-0.96,-0.96,-0.83,-0.90,0.97,0.81,0.92,0.96,0.96,-0.89,0.15
incompetence,0.69,0.97,-0.75,-0.52,-0.52,-0.96,-0.96,-0.56,-0.81,0.90,0.69,0.88,0.95,0.79,-0.89,0.05
inconvenience,0.75,0.98,0.71,0.97,-0.93,-0.96,-0.95,-0.58,-0.91,0.96,0.96,0.97,0.96,0.95,-0.83,0.28
increase,0.89,0.97,-0.72,0.93,-0.95,-0.96,-0.96,-0.73,-0.93,0.95,0.69,0.89,0.96,-0.69,-0.78,0.04
incubation,0.90,0.98,0.60,0.96,-0.59,-0.97,-0.92,0.79,-0.83,0.98,0.77,0.92,0.93,0.89,-0.83,0.39
independence,0.62,0.97,-0.85,0.67,-0.94,-0.97,-0.96,-0.72,-0.95,0.83,-0.53,0.90,0.96,0.77,-0.90,-0.01
independent,-0.93,-0.77,-0.81,0.78,-0.82,0.93,0.75,0.74,-0.91,-0.85,-0.58,0.88,0.96,-0.94,-0.85,-0.19
index,0.62,0.66,-0.60,0.93,-0.76,-0.92,-0.96,0.95,-0.82,0.98,0.92,0.95,0.97,0.68,-0.84,0.26
indication,-0.79,-0.55,-0.66,0.85,-0.84,-0.97,-0.95,0.69,-0.82,0.97,0.77,0.89,0.72,0.52,-0.67,0.01
indicator,0.76,0.81,-0.51,0.93,0.85,-0.88,-0.96,0.81,-0.89,0.98,0.92,0.94,0.98,0.89,-0.74,0.37
indigence,0.87,0.97,-0.69,0.94,-0.70,-0.96,-0.94,0.72,-0.84,0.91,0.79,0.89,0.97,0.92,-0.76,0.28
individual,-0.76,-0.83,-0.51,0.90,0.81,0.97,0.97,0.75,-0.93,0.59,0.52,0.70,0.89,0.60,-0.88,0.20
industrialisation,0.84,0.98,-0.71,0.62,-0.87,-0.97,-0.92,0.50,-0.88,0.93,0.60,0.90,0.96,0.73,-0.85,0.20
industrialization,0.88,0.98,-0.87,-0.58,-0.91,-0.97,-0.95,-0.59,-0.92,0.91,0.68,0.87,0.96,0.82,-0.80,0.03
industry,0.80,0.80,0.54,0.87,-0.62,0.76,0.87,0.89,0.96,0.92,0.61,0.96,0.97,0.82,-0.85,0.64
inequality,0.58,0.98,-0.50,0.72,-0.54,-0.96,-0.97,-0.54,-0.83,0.97,0.67,0.95,0.97,0.95,-0.87,0.17
inevitable,-0.56,0.91,-0.80,-0.54,-0.89,-0.93,-0.94,-0.81,-0.71,0.78,-0.64,0.92,0.94,-0.89,-0.73,-0.28
infancy,-0.71,0.97,-0.90,0.64,-0.94,-0.97,-0.96,0.53,-0.88,-0.76,-0.66,0.89,0.97,-0.57,-0.80,-0.23
infant,0.62,-0.85,0.85,0.96,0.95,0.97,0.96,-0.60,-0.94,0.96,0.75,0.76,0.81,0.84,-0.89,0.37
infarction,0.91,0.97,0.66,0.96,-0.57,-0.96,-0.94,0.78,-0.84,0.96,0.86,0.96,0.96,0.71,-0.74,0.39
infection,0.81,0.98,0.80,0.96,0.88,-0.96,-0.95,0.59,-0.78,0.97,0.88,0.90,0.97,0.85,-0.91,0.45
infiltration,0.96,0.98,0.69,0.96,-0.69,-0.96,-0.96,0.75,-0.82,0.97,0.77,0.94,0.95,0.51,-0.84,0.36
infinite,-0.60,0.82,-0.62,0.89,-0.62,-0.74,0.68,0.64,0.87,0.90,0.58,0.93,0.96,-0.67,-0.77,0.25
infix,0.89,0.97,0.79,0.96,-0.78,-0.94,-0.92,0.89,0.96,0.96,0.83,0.95,0.95,0.89,0.72,0.64
inflammation,0.83,0.98,-0.68,0.73,0.89,-0.97,-0.96,-0.66,-0.74,0.91,0.81,0.90,0.96,0.94,-0.71,0.26
